PRICE,TYPE,LOC,AREA,TERRAIN,DISPONIBL MAINTEN,NEUF,CHAMBRE,PIECE,FLOOR,FLOORS,POINT,CENTROID,CENTROID W,PRED,CAT
460000.0,APPART A VENDR,75015,43.0,0.0,0,0,1,2,6,7,"(43.0, 0.0, 0.0, 0.0, 1.0, 2.0, 6.0, 7.0)","(44.7, 0.0, 0.0, 0.0, 1.2, 2.2, 3.2, 7.0)",89.0,476400.0,"('APPART A VENDR', '75015')"
1190000.0,APPART A VENDR,75017,76.7,0.0,0,0,1,3,2,6,"(76.7, 0.0, 0.0, 0.0, 1.0, 3.0, 2.0, 6.0)","(75.0, 0.0, 0.0, 0.0, 1.5714285714285714, 3.2857142857142856, 1.2857142857142858, 5.571428571428571)",113.0,888428.5714285715,"('APPART A VENDR', '75017')"
1250000.0,APPART A VENDR,75008,86.0,0.0,0,0,2,3,2,2,"(86.0, 0.0, 0.0, 0.0, 2.0, 3.0, 2.0, 2.0)","(86.75, 0.0, 0.0, 0.25, 1.75, 2.75, 3.0, 4.0)",52.0,1466250.0,"('APPART A VENDR', '75008')"
649000.0,APPART A VENDR,75011,59.0,0.0,0,0,1,2,3,6,"(59.0, 0.0, 0.0, 0.0, 1.0, 2.0, 3.0, 6.0)","(61.73333333333333, 0.0, 0.0, 0.0, 1.6666666666666667, 2.6666666666666665, 1.5, 4.0)",49.0,706333.3333333334,"('APPART A VENDR', '75011')"
1700000.0,MAISON A VENDR,75013,155.7,42.2,0,0,3,6,0,0,,,,,"('MAISON A VENDR', '75013')"
2490000.0,APPART A VENDR,75016,147.5,0.0,0,0,3,5,6,7,"(147.5, 0.0, 0.0, 0.0, 3.0, 5.0, 6.0, 7.0)","(153.18, 0.0, 0.0, 0.1, 3.25, 5.25, 2.9, 5.85)",246.0,2000300.0,"('APPART A VENDR', '75016')"
890000.0,APPART A VENDR,75020,82.0,0.0,0,0,2,3,3,7,,,,,"('APPART A VENDR', '75020')"
660000.0,APPART A VENDR,75010,63.0,0.0,0,0,2,3,5,6,,,,,"('APPART A VENDR', '75010')"
165000.0,APPART A VENDR,75013,20.0,0.0,0,0,1,1,0,5,,,,,"('APPART A VENDR', '75013')"
432000.0,APPART A VENDR,75004,40.0,0.0,0,0,1,1,2,2,"(40.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0)","(38.46666666666667, 0.0, 0.0, 0.0, 1.3333333333333333, 2.0, 1.3333333333333333, 1.3333333333333333)",43.0,540666.6666666666,"('APPART A VENDR', '75004')"
415000.0,APPART A VENDR,75013,37.0,0.0,0,0,1,2,1,6,,,,,"('APPART A VENDR', '75013')"
1050000.0,APPART A VENDR,75017,67.6,0.0,0,0,1,3,5,7,"(67.6, 0.0, 0.0, 0.0, 1.0, 3.0, 5.0, 7.0)","(67.53076923076922, 0.0, 0.0, 0.0, 1.7692307692307692, 3.076923076923077, 3.1538461538461537, 4.923076923076923)",113.0,765642.8571428572,"('APPART A VENDR', '75017')"
1580000.0,APPART A VENDR,75009,90.1,0.0,0,0,2,4,5,5,,,,,"('APPART A VENDR', '75009')"
623000.0,APPART A VENDR,92000,45.9,0.0,0,1,1,2,5,5,"(45.9, 0.0, 0.0, 1.0, 1.0, 2.0, 5.0, 5.0)","(46.725, 0.0, 0.0, 0.5, 1.0, 2.0, 1.5, 2.25)",47.0,513500.0,"('APPART A VENDR', '92000')"
839000.0,APPART A VENDR,75019,97.0,0.0,0,0,3,4,2,7,,,,,"('APPART A VENDR', '75019')"
832000.0,APPART A VENDR,75017,74.7,0.0,0,0,1,3,0,6,"(74.7, 0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 6.0)","(75.0, 0.0, 0.0, 0.0, 1.5714285714285714, 3.2857142857142856, 1.2857142857142858, 5.571428571428571)",113.0,888428.5714285715,"('APPART A VENDR', '75017')"
820000.0,APPART A VENDR,75005,58.0,0.0,0,0,2,2,5,6,,,,,"('APPART A VENDR', '75005')"
490000.0,APPART A VENDR,75004,30.2,0.0,0,0,1,2,2,6,"(30.2, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 6.0)","(29.433333333333334, 0.0, 0.0, 0.0, 1.0, 1.6666666666666667, 2.0, 5.0)",43.0,484666.6666666667,"('APPART A VENDR', '75004')"
1410000.0,APPART A VENDR,75016,108.4,0.0,0,0,2,4,3,8,"(108.4, 0.0, 0.0, 0.0, 2.0, 4.0, 3.0, 8.0)","(107.33888888888889, 0.0, 0.0, 0.0, 2.6666666666666665, 4.444444444444445, 2.7777777777777777, 6.555555555555555)",246.0,1407866.6666666667,"('APPART A VENDR', '75016')"
695000.0,APPART A VENDR,75008,45.0,0.0,0,1,1,2,6,6,"(45.0, 0.0, 0.0, 1.0, 1.0, 2.0, 6.0, 6.0)","(51.525, 0.0, 0.0, 0.0, 1.0, 2.0, 4.0, 6.0)",52.0,823600.0,"('APPART A VENDR', '75008')"
680000.0,APPART A VENDR,75010,68.4,0.0,0,0,2,3,3,3,,,,,"('APPART A VENDR', '75010')"
689000.0,APPART A VENDR,75018,52.0,0.0,0,1,2,3,3,3,"(52.0, 0.0, 0.0, 1.0, 2.0, 3.0, 3.0, 3.0)","(53.1, 0.0, 0.0, 0.5, 1.625, 2.5, 1.875, 4.0)",119.0,537062.5,"('APPART A VENDR', '75018')"
688000.0,APPART A VENDR,75003,54.2,0.0,0,0,1,3,6,7,"(54.2, 0.0, 0.0, 0.0, 1.0, 3.0, 6.0, 7.0)","(54.1, 0.0, 0.0, 0.0, 1.0, 3.0, 5.0, 6.0)",37.0,701000.0,"('APPART A VENDR', '75003')"
380000.0,APPART A VENDR,75020,46.0,0.0,0,0,1,2,0,0,,,,,"('APPART A VENDR', '75020')"
508000.0,APPART A VENDR,75018,46.0,0.0,0,0,1,2,2,6,"(46.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 6.0)","(43.7, 0.0, 0.0, 0.0, 1.0666666666666667, 2.1333333333333333, 2.6, 5.933333333333334)",119.0,435087.5,"('APPART A VENDR', '75018')"
2490000.0,APPART A VENDR,75016,147.1,0.0,0,1,3,5,6,7,"(147.1, 0.0, 0.0, 1.0, 3.0, 5.0, 6.0, 7.0)","(153.18, 0.0, 0.0, 0.1, 3.25, 5.25, 2.9, 5.85)",246.0,2000300.0,"('APPART A VENDR', '75016')"
1090000.0,APPART A VENDR,75018,138.0,0.0,0,1,4,5,1,8,"(138.0, 0.0, 0.0, 1.0, 4.0, 5.0, 1.0, 8.0)","(123.94000000000001, 0.0, 0.0, 0.4, 3.2, 4.4, 4.6, 7.0)",119.0,1112900.0,"('APPART A VENDR', '75018')"
563750.0,APPART A VENDR,92000,86.0,0.0,0,0,3,4,4,9,"(86.0, 0.0, 0.0, 0.0, 3.0, 4.0, 4.0, 9.0)","(89.25714285714285, 0.0, 0.0, 0.2857142857142857, 3.0, 4.142857142857143, 3.0, 5.714285714285714)",47.0,878650.0,"('APPART A VENDR', '92000')"
860000.0,APPART A VENDR,75012,99.0,0.0,0,0,3,5,1,6,"(99.0, 0.0, 0.0, 0.0, 3.0, 5.0, 1.0, 6.0)","(99.55, 0.0, 0.0, 0.0, 3.0, 5.0, 2.5, 13.0)",37.0,1051666.6666666667,"('APPART A VENDR', '75012')"
506000.0,APPART A VENDR,75012,44.0,0.0,0,0,1,2,5,6,"(44.0, 0.0, 0.0, 0.0, 1.0, 2.0, 5.0, 6.0)","(46.699999999999996, 0.0, 0.0, 0.3333333333333333, 1.0, 2.3333333333333335, 3.0, 5.666666666666667)",37.0,479400.0,"('APPART A VENDR', '75012')"
465000.0,APPART A VENDR,75012,48.0,0.0,0,0,1,3,5,5,"(48.0, 0.0, 0.0, 0.0, 1.0, 3.0, 5.0, 5.0)","(46.699999999999996, 0.0, 0.0, 0.3333333333333333, 1.0, 2.3333333333333335, 3.0, 5.666666666666667)",37.0,479400.0,"('APPART A VENDR', '75012')"
770000.0,APPART A VENDR,75017,73.0,0.0,0,0,2,3,3,6,"(73.0, 0.0, 0.0, 0.0, 2.0, 3.0, 3.0, 6.0)","(75.0, 0.0, 0.0, 0.0, 1.5714285714285714, 3.2857142857142856, 1.2857142857142858, 5.571428571428571)",113.0,888428.5714285715,"('APPART A VENDR', '75017')"
420000.0,APPART A VENDR,75008,27.0,0.0,0,0,1,1,8,8,"(27.0, 0.0, 0.0, 0.0, 1.0, 1.0, 8.0, 8.0)","(28.25, 0.0, 0.0, 0.0, 1.0, 1.25, 5.75, 6.5)",52.0,480750.0,"('APPART A VENDR', '75008')"
300000.0,APPART A VENDR,75018,37.0,0.0,0,0,1,2,3,5,"(37.0, 0.0, 0.0, 0.0, 1.0, 2.0, 3.0, 5.0)","(35.06363636363636, 0.0, 0.0, 0.09090909090909091, 1.0, 1.8181818181818181, 4.2727272727272725, 5.2727272727272725)",119.0,323136.36363636365,"('APPART A VENDR', '75018')"
435000.0,APPART A VENDR,75018,56.0,0.0,0,0,2,3,3,4,"(56.0, 0.0, 0.0, 0.0, 2.0, 3.0, 3.0, 4.0)","(53.1, 0.0, 0.0, 0.5, 1.625, 2.5, 1.875, 4.0)",119.0,537062.5,"('APPART A VENDR', '75018')"
