href,title
https://www.seloger.com/annonces/achat/appartement/saint-denis-93/peri-langevin-stalingrad-politzer/243129679.htm?serp_view=list&search=distributionTypes%3DBuy%26locations%3DAD08FR31096%26page%3D51#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Appartement à vendre - Saint-Denis - 181 000 € - 2 pièces, 1 chambre, 46 m², Étage 8/8"
https://www.bellesdemeures.com/226712199/detail.htm,"Appartement à vendre - Paris 17ème - 2 635 000 € - 5 pièces, 3 chambres, 220,3 m², Étage 2/6"
https://www.seloger.com/annonces/achat/appartement/paris-12eme-75/bel-air-sud/250278047.htm?serp_view=list&search=distributionTypes%3DBuy%26locations%3DAD08FR31096%26page%3D51#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Studio à vendre - Paris 12ème - 110 000 € - 1 pièce, 8,4 m², Étage 8/8"
https://www.bellesdemeures.com/250768785/detail.htm,"Appartement à vendre - Paris 16ème - 1 100 000 € - 5 pièces, 2 chambres, 89,1 m², Étage 1/7"
https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/amandiers/250799143.htm?serp_view=list&search=distributionTypes%3DBuy%26locations%3DAD08FR31096%26page%3D51#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Appartement à vendre - Paris 20ème - 442 000 € - 3 pièces, 2 chambres, 48 m², Étage 2/6"
https://www.bellesdemeures.com/249854897/detail.htm,"Appartement à vendre - Paris 15ème - 1 280 000 € - 5 pièces, 4 chambres, 108 m², RDC/9"
https://www.seloger.com/annonces/achat/appartement/paris-4eme-75/arsenal/249529809.htm?serp_view=list&search=distributionTypes%3DBuy%26locations%3DAD08FR31096%26page%3D51#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Appartement à vendre - Paris 4ème - 795 000 € - 3 pièces, 2 chambres, 70 m², Étage 5/6"
https://www.bellesdemeures.com/249190295/detail.htm,"Appartement à vendre - Paris 10ème - 1 000 000 € - 6 pièces, 4 chambres, 122 m², Étage 1/6"
https://www.seloger.com/annonces/achat/appartement/paris-10eme-75/246141489.htm?serp_view=list&search=distributionTypes%3DBuy%26locations%3DAD08FR31096%26page%3D51#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Appartement à vendre - Paris 10ème - 475 000 € - 3 pièces, 2 chambres, 49,1 m², Étage 1/5"
https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/bassin-de-la-villette/244716587.htm?serp_view=list&search=distributionTypes%3DBuy%26locations%3DAD08FR31096%26page%3D52#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Appartement à vendre - Paris 19ème - 499 000 € - 2 pièces, 1 chambre, 58 m², Étage 6/6"
https://www.seloger.com/annonces/achat/appartement/paris-6eme-75/odeon/243342037.htm?serp_view=list&search=distributionTypes%3DBuy%26locations%3DAD08FR31096%26page%3D52#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Appartement à vendre - Paris 6ème - 399 000 € - 2 pièces, 1 chambre, 34 m², RDC/6"
https://www.bellesdemeures.com/243285697/detail.htm,"Appartement à vendre - Paris 10ème - 2 785 000 € - 8 pièces, 4 chambres, 300 m², Étage 3/4"
https://www.seloger.com/annonces/achat/appartement/paris-16eme-75/muette-nord/239208381.htm?serp_view=list&search=distributionTypes%3DBuy%26locations%3DAD08FR31096%26page%3D52#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Appartement à vendre - Paris 16ème - 1 100 000 € - 4 pièces, 2 chambres, 89 m², Étage 3/6"
https://www.bellesdemeures.com/237328259/detail.htm,"Appartement à vendre - Paris 16ème - 3 490 000 € - 7 pièces, 5 chambres, 325,6 m², 1er étage"
https://www.bellesdemeures.com/251942303/detail.htm,"Appartement à vendre - Paris 6ème - 385 000 € - 1 pièce, 22,5 m², Étage 4/6"
https://www.seloger.com/annonces/achat/appartement/paris-16eme-75/muette-nord/250395751.htm?serp_view=list&search=distributionTypes%3DBuy%26locations%3DAD08FR31096%26page%3D52#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Appartement à vendre - Paris 16ème - 145 500 € - 1 pièce, 12,5 m², Étage 6/6"
https://www.seloger.com/annonces/achat/appartement/paris-2eme-75/sentier-bonne-nouvelle/251449127.htm?serp_view=list&search=distributionTypes%3DBuy%26locations%3DAD08FR31096%26page%3D52#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Duplex à vendre - Paris 2ème - 622 000 € - 3 pièces, 1 chambre, 52 m², Étage 6/6"
https://www.bellesdemeures.com/250053375/detail.htm,"Appartement à vendre - Paris 7ème - 340 000 € - 1 pièce, 20,8 m², Étage 4/5"
https://www.selogerneuf.com/annonces/neuf/programme/saint-ouen-93/235231433/,"Appartement à vendre - Neuf - Saint-Ouen-sur-Seine - 501 000 € - 3 pièces, 66 m², 1er étage"
